# This file is created by system ./DesigningTheRidgeLineVer2.out
# Success!!
# objective function value ->0.001131
# number of coefficients -> 26
# IntegralNumber -> 5 Convergence -> 0.000160
# multipliers of equational conditions
#  2.776e+00|   5.146e+00|   4.799e+00|   1.194e+01|   3.132e+01| 
# multipliers of inequality conditions
#  0.000e+00|   0.000e+00|   0.000e+00|   0.000e+00|   0.000e+00| 

0.096929 0.112773 3.486020 3.117149 6.362960
0.099083 0.115206 3.501361 3.148436 6.315915
0.101237 0.117634 3.515261 3.179248 6.268614
0.103391 0.120056 3.527724 3.209568 6.221105
0.105545 0.122472 3.538753 3.239382 6.173425
0.107699 0.124882 3.548351 3.268673 6.125638
0.109853 0.127285 3.556524 3.297428 6.077698
0.112007 0.129682 3.563278 3.325632 6.029721
0.114161 0.132073 3.568620 3.353270 5.981711
0.116315 0.134457 3.572557 3.380330 5.933700
0.118469 0.136835 3.575099 3.406798 5.885702
0.120623 0.139205 3.576255 3.432660 5.837802
0.122777 0.141568 3.576035 3.457905 5.789970
0.124931 0.143924 3.574451 3.482521 5.742256
0.127085 0.146272 3.571515 3.506495 5.694684
0.129239 0.148613 3.567240 3.529817 5.647277
0.131393 0.150946 3.561640 3.552477 5.600066
0.133547 0.153272 3.554730 3.574463 5.553066
0.135701 0.155589 3.546526 3.595767 5.506301
0.137855 0.157898 3.537043 3.616379 5.459791
0.140009 0.160199 3.526299 3.636290 5.413563
0.142163 0.162491 3.514312 3.655492 5.367615
0.144317 0.164775 3.501101 3.673978 5.321982
0.146471 0.167050 3.486684 3.691741 5.276675
0.148625 0.169316 3.471083 3.708773 5.231709
0.150779 0.171573 3.454316 3.725070 5.187107
0.152933 0.173822 3.436407 3.740624 5.142852
0.155087 0.176061 3.417377 3.755432 5.098988
0.157241 0.178290 3.397248 3.769490 5.055513
0.159395 0.180510 3.376044 3.782792 5.012439
0.161549 0.182721 3.353788 3.795336 4.969777
0.163703 0.184922 3.330506 3.807120 4.927528
0.165857 0.187113 3.306220 3.818141 4.885706
0.168011 0.189294 3.280958 3.828397 4.844317
0.170165 0.191465 3.254744 3.837888 4.803367
0.172319 0.193626 3.227605 3.846613 4.762859
0.174473 0.195777 3.199566 3.854572 4.722801
0.176627 0.197917 3.170656 3.861766 4.683194
0.178781 0.200047 3.140900 3.868196 4.644042
0.180934 0.202166 3.110328 3.873865 4.605349
0.183088 0.204275 3.078965 3.878773 4.567112
0.185242 0.206373 3.046841 3.882925 4.529344
0.187396 0.208461 3.013984 3.886323 4.492034
0.189550 0.210537 2.980422 3.888972 4.455189
0.191704 0.212603 2.946183 3.890875 4.418805
0.193858 0.214657 2.911296 3.892039 4.382884
0.196012 0.216701 2.875790 3.892469 4.347427
0.198166 0.218733 2.839694 3.892170 4.312430
0.200320 0.220754 2.803037 3.891149 4.277891
0.202474 0.222764 2.765847 3.889413 4.243810
0.204628 0.224762 2.728153 3.886970 4.210180
0.206782 0.226750 2.689985 3.883828 4.177009
0.208936 0.228725 2.651370 3.879994 4.144284
0.211090 0.230689 2.612338 3.875478 4.112006
0.213244 0.232642 2.572916 3.870289 4.080171
0.215398 0.234583 2.533133 3.864437 4.048778
0.217552 0.236513 2.493017 3.857931 4.017814
0.219706 0.238431 2.452597 3.850783 3.987284
0.221860 0.240337 2.411899 3.843003 3.957182
0.224014 0.242232 2.370950 3.834602 3.927502
0.226168 0.244115 2.329779 3.825592 3.898238
0.228322 0.245986 2.288411 3.815985 3.869395
0.230476 0.247846 2.246873 3.805792 3.840958
0.232630 0.249694 2.205191 3.795027 3.812924
0.234784 0.251530 2.163391 3.783702 3.785290
0.236938 0.253354 2.121498 3.771831 3.758050
0.239092 0.255167 2.079536 3.759426 3.731198
0.241246 0.256968 2.037531 3.746502 3.704731
0.243400 0.258757 1.995505 3.733071 3.678643
0.245554 0.260535 1.953483 3.719148 3.652928
0.247708 0.262301 1.911486 3.704748 3.627584
0.249862 0.264055 1.869539 3.689884 3.602598
0.252016 0.265797 1.827662 3.674571 3.577971
0.254170 0.267528 1.785877 3.658823 3.553697
0.256324 0.269248 1.744204 3.642657 3.529770
0.258478 0.270956 1.702665 3.626085 3.506184
0.260632 0.272652 1.661277 3.609124 3.482935
0.262786 0.274337 1.620062 3.591789 3.460016
0.264940 0.276011 1.579037 3.574094 3.437422
0.267094 0.277673 1.538220 3.556055 3.415150
0.269248 0.279324 1.497628 3.537687 3.393192
0.271402 0.280964 1.457278 3.519005 3.371544
0.273556 0.282593 1.417187 3.500024 3.350201
0.275710 0.284210 1.377368 3.480761 3.329157
0.277864 0.285817 1.337839 3.461229 3.308408
0.280018 0.287412 1.298612 3.441444 3.287948
0.282172 0.288997 1.259701 3.421421 3.267773
0.284326 0.290570 1.221119 3.401176 3.247877
0.286480 0.292133 1.182879 3.380722 3.228256
0.288634 0.293686 1.144993 3.360076 3.208904
0.290788 0.295227 1.107470 3.339251 3.189818
0.292942 0.296759 1.070323 3.318262 3.170992
0.295096 0.298280 1.033560 3.297125 3.152420
0.297250 0.299790 0.997192 3.275852 3.134101
0.299403 0.301291 0.961226 3.254459 3.116029
0.301557 0.302781 0.925672 3.232959 3.098200
0.303711 0.304261 0.890535 3.211366 3.080605
0.305865 0.305732 0.855825 3.189693 3.063245
0.308019 0.307193 0.821546 3.167955 3.046115
0.310173 0.308644 0.787704 3.146165 3.029210
0.312327 0.310085 0.754306 3.124335 3.012526
0.314481 0.311517 0.721355 3.102478 2.996058
0.316635 0.312940 0.688856 3.080608 2.979803
0.318789 0.314353 0.656813 3.058735 2.963758
0.320943 0.315758 0.625228 3.036873 2.947919
0.323097 0.317154 0.594105 3.015033 2.932282
0.325251 0.318540 0.563446 2.993227 2.916839
0.327405 0.319918 0.533252 2.971466 2.901591
0.329559 0.321288 0.503525 2.949761 2.886535
0.331713 0.322649 0.474266 2.928123 2.871665
0.333867 0.324002 0.445475 2.906563 2.856978
0.336021 0.325347 0.417152 2.885090 2.842474
0.338175 0.326683 0.389297 2.863715 2.828146
0.340329 0.328012 0.361910 2.842447 2.813992
0.342483 0.329333 0.334988 2.821297 2.800008
0.344637 0.330647 0.308531 2.800272 2.786192
0.346791 0.331953 0.282537 2.779382 2.772540
0.348945 0.333252 0.257004 2.758635 2.759050
0.351099 0.334544 0.231930 2.738039 2.745718
0.353253 0.335829 0.207312 2.717603 2.732542
0.355407 0.337108 0.183146 2.697334 2.719521
0.357561 0.338379 0.159431 2.677239 2.706647
0.359715 0.339644 0.136162 2.657326 2.693923
0.361869 0.340903 0.113336 2.637601 2.681343
0.364023 0.342156 0.090949 2.618071 2.668906
0.366177 0.343402 0.068996 2.598742 2.656609
0.368331 0.344643 0.047475 2.579619 2.644450
0.370485 0.345879 0.026380 2.560709 2.632426
0.372639 0.347108 0.005708 2.542017 2.620535
0.374793 0.348333 -0.014547 2.523547 2.608775
0.376947 0.349552 -0.034390 2.505306 2.597144
0.379101 0.350767 -0.053824 2.487296 2.585638
0.381255 0.351976 -0.072856 2.469523 2.574257
0.383409 0.353181 -0.091489 2.451990 2.562998
0.385563 0.354382 -0.109730 2.434702 2.551860
0.387717 0.355578 -0.127582 2.417661 2.540841
0.389871 0.356770 -0.145051 2.400871 2.529936
0.392025 0.357958 -0.162143 2.384335 2.519146
0.394179 0.359143 -0.178861 2.368056 2.508469
0.396333 0.360324 -0.195212 2.352035 2.497904
0.398487 0.361502 -0.211200 2.336276 2.487448
0.400641 0.362676 -0.226831 2.320780 2.477098
0.402795 0.363848 -0.242108 2.305549 2.466855
0.404949 0.365016 -0.257038 2.290585 2.456716
0.407103 0.366182 -0.271625 2.275889 2.446681
0.409257 0.367346 -0.285873 2.261462 2.436746
0.411411 0.368507 -0.299787 2.247306 2.426911
0.413565 0.369666 -0.313373 2.233420 2.417175
0.415719 0.370824 -0.326633 2.219806 2.407536
0.417873 0.371979 -0.339572 2.206463 2.397992
0.420026 0.373133 -0.352195 2.193393 2.388542
0.422180 0.374286 -0.364506 2.180594 2.379187
0.424334 0.375438 -0.376507 2.168067 2.369924
0.426488 0.376589 -0.388204 2.155812 2.360750
0.428642 0.377739 -0.399599 2.143828 2.351666
0.430796 0.378888 -0.410695 2.132114 2.342673
0.432950 0.380037 -0.421496 2.120670 2.333763
0.435104 0.381186 -0.432005 2.109494 2.324941
0.437258 0.382335 -0.442224 2.098585 2.316206
0.439412 0.383485 -0.452156 2.087943 2.307554
0.441566 0.384634 -0.461803 2.077565 2.298984
0.443720 0.385785 -0.471167 2.067451 2.290499
0.445874 0.386936 -0.480249 2.057599 2.282095
0.448028 0.388088 -0.489052 2.048006 2.273771
0.450182 0.389241 -0.497577 2.038672 2.265527
0.452336 0.390396 -0.505825 2.029593 2.257363
0.454490 0.391552 -0.513796 2.020769 2.249276
0.456644 0.392710 -0.521492 2.012197 2.241266
0.458798 0.393870 -0.528912 2.003874 2.233334
0.460952 0.395033 -0.536057 1.995798 2.225478
0.463106 0.396197 -0.542926 1.987968 2.217699
0.465260 0.397365 -0.549520 1.980380 2.209992
0.467414 0.398535 -0.555836 1.973032 2.202361
0.469568 0.399708 -0.561875 1.965921 2.194804
0.471722 0.400884 -0.567635 1.959044 2.187319
0.473876 0.402064 -0.573115 1.952399 2.179907
0.476030 0.403248 -0.578312 1.945984 2.172568
0.478184 0.404435 -0.583225 1.939794 2.165300
0.480338 0.405626 -0.587852 1.933827 2.158104
0.482492 0.406821 -0.592189 1.928080 2.150978
0.484646 0.408021 -0.596234 1.922551 2.143922
0.486800 0.409226 -0.599984 1.917235 2.136937
0.488954 0.410435 -0.603435 1.912130 2.130021
0.491108 0.411649 -0.606585 1.907234 2.123175
0.493262 0.412869 -0.609428 1.902542 2.116397
0.495416 0.414093 -0.611961 1.898051 2.109689
0.497570 0.415324 -0.614179 1.893759 2.103049
0.499724 0.416560 -0.616079 1.889662 2.096478
0.501878 0.417803 -0.617654 1.885758 2.089975
0.504032 0.419051 -0.618900 1.882042 2.083539
0.506186 0.420307 -0.619811 1.878511 2.077171
0.508340 0.421568 -0.620383 1.875163 2.070872
0.510494 0.422837 -0.620609 1.871994 2.064640
0.512648 0.424112 -0.620483 1.869002 2.058475
0.514802 0.425395 -0.620000 1.866182 2.052377
0.516956 0.426685 -0.619152 1.863531 2.046346
0.519110 0.427983 -0.617934 1.861048 2.040384
0.521264 0.429289 -0.616339 1.858727 2.034489
0.523418 0.430603 -0.614360 1.856567 2.028661
0.525572 0.431925 -0.611990 1.854564 2.022900
0.527726 0.433255 -0.609222 1.852715 2.017206
0.529880 0.434594 -0.606048 1.851018 2.011581
0.532034 0.435942 -0.602463 1.849468 2.006024
0.534188 0.437298 -0.598457 1.848064 2.000532
0.536342 0.438664 -0.594024 1.846802 1.995110
0.538496 0.440039 -0.589156 1.845679 1.989758
0.540649 0.441424 -0.583846 1.844693 1.984471
0.542803 0.442819 -0.578086 1.843841 1.979254
0.544957 0.444223 -0.571868 1.843120 1.974106
0.547111 0.445638 -0.565185 1.842527 1.969027
0.549265 0.447063 -0.558030 1.842060 1.964018
0.551419 0.448498 -0.550393 1.841717 1.959078
0.553573 0.449945 -0.542269 1.841494 1.954209
0.555727 0.451402 -0.533649 1.841389 1.949409
0.557881 0.452869 -0.524527 1.841401 1.944680
0.560035 0.454349 -0.514895 1.841525 1.940024
0.562189 0.455839 -0.504745 1.841762 1.935438
0.564343 0.457341 -0.494071 1.842107 1.930924
0.566497 0.458855 -0.482867 1.842560 1.926484
0.568651 0.460381 -0.471125 1.843117 1.922116
0.570805 0.461918 -0.458838 1.843777 1.917823
0.572959 0.463468 -0.446002 1.844539 1.913603
0.575113 0.465030 -0.432609 1.845399 1.909458
0.577267 0.466605 -0.418655 1.846357 1.905390
0.579421 0.468192 -0.404133 1.847411 1.901396
0.581575 0.469792 -0.389039 1.848558 1.897479
0.583729 0.471405 -0.373368 1.849798 1.893640
0.585883 0.473031 -0.357115 1.851129 1.889879
0.588037 0.474671 -0.340277 1.852549 1.886196
0.590191 0.476323 -0.322849 1.854058 1.882593
0.592345 0.477990 -0.304830 1.855653 1.879070
0.594499 0.479670 -0.286215 1.857334 1.875629
0.596653 0.481363 -0.267002 1.859099 1.872269
0.598807 0.483071 -0.247190 1.860947 1.868992
0.600961 0.484792 -0.226778 1.862877 1.865799
0.603115 0.486527 -0.205764 1.864889 1.862692
0.605269 0.488277 -0.184149 1.866980 1.859668
0.607423 0.490041 -0.161931 1.869151 1.856731
0.609577 0.491820 -0.139114 1.871401 1.853883
0.611731 0.493613 -0.115697 1.873728 1.851123
0.613885 0.495420 -0.091683 1.876132 1.848451
0.616039 0.497243 -0.067074 1.878612 1.845872
0.618193 0.499080 -0.041875 1.881167 1.843383
0.620347 0.500932 -0.016088 1.883798 1.840987
0.622501 0.502798 0.010281 1.886503 1.838685
0.624655 0.504680 0.037227 1.889281 1.836478
0.626809 0.506577 0.064744 1.892133 1.834367
0.628963 0.508489 0.092826 1.895057 1.832355
0.631117 0.510416 0.121464 1.898054 1.830442
0.633271 0.512359 0.150650 1.901122 1.828627
0.635425 0.514316 0.180376 1.904262 1.826914
0.637579 0.516289 0.210632 1.907472 1.825304
0.639733 0.518277 0.241407 1.910753 1.823799
0.641887 0.520281 0.272690 1.914103 1.822397
0.644041 0.522300 0.304469 1.917523 1.821104
0.646195 0.524334 0.336731 1.921012 1.819920
0.648349 0.526384 0.369463 1.924569 1.818844
0.650503 0.528449 0.402649 1.928193 1.817879
0.652657 0.530530 0.436276 1.931886 1.817030
0.654811 0.532626 0.470327 1.935645 1.816293
0.656965 0.534737 0.504785 1.939470 1.815672
0.659118 0.536864 0.539633 1.943360 1.815169
0.661272 0.539006 0.574852 1.947315 1.814787
0.663426 0.541163 0.610424 1.951334 1.814523
0.665580 0.543335 0.646329 1.955416 1.814382
0.667734 0.545523 0.682546 1.959561 1.814366
0.669888 0.547725 0.719054 1.963767 1.814476
0.672042 0.549943 0.755831 1.968033 1.814714
0.674196 0.552176 0.792855 1.972358 1.815082
0.676350 0.554424 0.830102 1.976742 1.815580
0.678504 0.556686 0.867549 1.981182 1.816213
0.680658 0.558964 0.905169 1.985678 1.816980
0.682812 0.561256 0.942939 1.990228 1.817885
0.684966 0.563563 0.980833 1.994831 1.818929
0.687120 0.565884 1.018823 1.999484 1.820113
0.689274 0.568219 1.056883 2.004187 1.821441
0.691428 0.570569 1.094986 2.008937 1.822913
0.693582 0.572933 1.133103 2.013733 1.824532
0.695736 0.575311 1.171205 2.018572 1.826299
0.697890 0.577702 1.209264 2.023452 1.828218
0.700044 0.580107 1.247250 2.028371 1.830292
0.702198 0.582527 1.285134 2.033327 1.832518
0.704352 0.584959 1.322884 2.038317 1.834902
0.706506 0.587404 1.360472 2.043339 1.837447
0.708660 0.589863 1.397865 2.048389 1.840154
0.710814 0.592334 1.435033 2.053466 1.843026
0.712968 0.594819 1.471944 2.058565 1.846061
0.715122 0.597315 1.508568 2.063684 1.849265
0.717276 0.599824 1.544872 2.068819 1.852642
0.719430 0.602346 1.580825 2.073968 1.856190
0.721584 0.604879 1.616395 2.079126 1.859913
0.723738 0.607423 1.651551 2.084290 1.863813
0.725892 0.609980 1.686259 2.089457 1.867894
0.728046 0.612547 1.720490 2.094622 1.872155
0.730200 0.615126 1.754211 2.099781 1.876600
0.732354 0.617715 1.787390 2.104931 1.881233
0.734508 0.620315 1.819998 2.110068 1.886055
0.736662 0.622925 1.852001 2.115186 1.891068
0.738816 0.625546 1.883371 2.120282 1.896274
0.740970 0.628176 1.914075 2.125351 1.901677
0.743124 0.630816 1.944085 2.130388 1.907277
0.745278 0.633465 1.973370 2.135389 1.913078
0.747432 0.636123 2.001902 2.140349 1.919082
0.749586 0.638790 2.029650 2.145263 1.925290
0.751740 0.641466 2.056588 2.150126 1.931709
0.753894 0.644149 2.082688 2.154933 1.938336
0.756048 0.646841 2.107922 2.159680 1.945176
0.758202 0.649540 2.132264 2.164360 1.952230
0.760356 0.652246 2.155688 2.168969 1.959505
0.762510 0.654960 2.178169 2.173502 1.966995
0.764664 0.657681 2.199683 2.177952 1.974708
0.766818 0.660408 2.220207 2.182316 1.982645
0.768972 0.663141 2.239717 2.186588 1.990809
0.771126 0.665879 2.258191 2.190761 1.999199
0.773280 0.668624 2.275610 2.194832 2.007821
0.775434 0.671374 2.291953 2.198794 2.016676
0.777588 0.674128 2.307200 2.202642 2.025766
0.779741 0.676888 2.321334 2.206372 2.035094
0.781895 0.679651 2.334338 2.209977 2.044660
0.784049 0.682419 2.346195 2.213452 2.054467
0.786203 0.685190 2.356891 2.216792 2.064519
0.788357 0.687964 2.366412 2.219992 2.074816
0.790511 0.690742 2.374745 2.223048 2.085359
0.792665 0.693522 2.381877 2.225952 2.096153
0.794819 0.696305 2.387799 2.228702 2.107198
0.796973 0.699090 2.392502 2.231292 2.118495
0.799127 0.701876 2.395976 2.233717 2.130046
0.801281 0.704664 2.398215 2.235972 2.141855
0.803435 0.707453 2.399212 2.238054 2.153920
0.805589 0.710243 2.398964 2.239957 2.166246
0.807743 0.713033 2.397466 2.241677 2.178832
0.809897 0.715824 2.394716 2.243210 2.191681
0.812051 0.718614 2.390713 2.244552 2.204793
0.814205 0.721403 2.385458 2.245699 2.218170
0.816359 0.724192 2.378950 2.246648 2.231815
0.818513 0.726980 2.371193 2.247395 2.245725
0.820667 0.729767 2.362190 2.247936 2.259904
0.822821 0.732551 2.351945 2.248269 2.274355
0.824975 0.735334 2.340466 2.248390 2.289074
0.827129 0.738114 2.327758 2.248297 2.304059
0.829283 0.740892 2.313830 2.247988 2.319320
0.831437 0.743666 2.298692 2.247459 2.334849
0.833591 0.746438 2.282353 2.246708 2.350659
0.835745 0.749206 2.264825 2.245735 2.366732
0.837899 0.751969 2.246121 2.244537 2.383079
0.840053 0.754729 2.226253 2.243112 2.399700
0.842207 0.757485 2.205237 2.241460 2.416595
0.844361 0.760236 2.183089 2.239579 2.433756
0.846515 0.762982 2.159823 2.237470 2.451194
0.848669 0.765723 2.135459 2.235131 2.468904
0.850823 0.768458 2.110013 2.232562 2.486884
0.852977 0.771188 2.083506 2.229763 2.505132
0.855131 0.773911 2.055956 2.226735 2.523650
0.857285 0.776629 2.027386 2.223478 2.542435
0.859439 0.779340 1.997815 2.219993 2.561491
0.861593 0.782044 1.967267 2.216282 2.580808
0.863747 0.784742 1.935763 2.212345 2.600393
0.865901 0.787432 1.903328 2.208184 2.620232
0.868055 0.790115 1.869985 2.203801 2.640340
0.870209 0.792790 1.835758 2.199199 2.660699
0.872363 0.795458 1.800673 2.194379 2.681317
0.874517 0.798118 1.764756 2.189345 2.702183
0.876671 0.800769 1.728031 2.184099 2.723308
0.878825 0.803413 1.690526 2.178644 2.744672
0.880979 0.806047 1.652266 2.172985 2.766281
0.883133 0.808673 1.613278 2.167124 2.788130
0.885287 0.811291 1.573590 2.161067 2.810217
0.887441 0.813899 1.533229 2.154816 2.832541
0.889595 0.816498 1.492221 2.148376 2.855091
0.891749 0.819088 1.450595 2.141752 2.877866
0.893903 0.821668 1.408377 2.134950 2.900866
0.896057 0.824239 1.365596 2.127973 2.924083
0.898210 0.826800 1.322277 2.120829 2.947510
0.900364 0.829352 1.278450 2.113521 2.971145
0.902518 0.831894 1.234140 2.106056 2.994969
0.904672 0.834425 1.189375 2.098439 3.019005
0.906826 0.836947 1.144182 2.090678 3.043220
0.908980 0.839458 1.098586 2.082778 3.067636
0.911134 0.841960 1.052614 2.074747 3.092216
0.913288 0.844451 1.006292 2.066590 3.116967
0.915442 0.846932 0.959645 2.058314 3.141883
0.917596 0.849402 0.912698 2.049927 3.166960
0.919750 0.851862 0.865476 2.041437 3.192184
0.921904 0.854312 0.818001 2.032849 3.217550
0.924058 0.856751 0.770299 2.024173 3.243051
0.926212 0.859180 0.722391 2.015415 3.268681
0.928366 0.861599 0.674300 2.006583 3.294427
0.930520 0.864007 0.626047 1.997685 3.320294
0.932674 0.866405 0.577653 1.988730 3.346256
0.934828 0.868792 0.529139 1.979725 3.372295
0.936982 0.871169 0.480523 1.970678 3.398430
0.939136 0.873536 0.431825 1.961599 3.424629
0.941290 0.875892 0.383061 1.952494 3.450899
0.943444 0.878238 0.334250 1.943373 3.477203
0.945598 0.880575 0.285407 1.934245 3.503563
0.947752 0.882901 0.236547 1.925118 3.529946
0.949906 0.885217 0.187686 1.916000 3.556362
0.952060 0.887523 0.138835 1.906900 3.582757
0.954214 0.889820 0.090009 1.897827 3.609172
0.956368 0.892107 0.041219 1.888790 3.635575
0.958522 0.894385 -0.007525 1.879798 3.661939
0.960676 0.896653 -0.056213 1.870859 3.688261
0.962830 0.898911 -0.104837 1.861982 3.714518
0.964984 0.901161 -0.153388 1.853177 3.740714
0.967138 0.903403 -0.201859 1.844452 3.766853
0.969292 0.905635 -0.250246 1.835816 3.792859
0.971446 0.907858 -0.298543 1.827278 3.818779
0.973600 0.910074 -0.346747 1.818847 3.844581
0.975754 0.912281 -0.394855 1.810532 3.870264
0.977908 0.914480 -0.442865 1.802341 3.895742
0.980062 0.916671 -0.490777 1.794285 3.921095
0.982216 0.918854 -0.538592 1.786371 3.946222
0.984370 0.921031 -0.586310 1.778608 3.971203
0.986524 0.923200 -0.633935 1.771007 3.995893
0.988678 0.925363 -0.681469 1.763574 4.020400
0.990832 0.927518 -0.728918 1.756320 4.044654
0.992986 0.929668 -0.776288 1.749253 4.068672
0.995140 0.931811 -0.823584 1.742383 4.092365
0.997294 0.933948 -0.870814 1.735717 4.115781
0.999448 0.936080 -0.917988 1.729265 4.138903
1.001602 0.938207 -0.965114 1.723037 4.161686
1.003756 0.940329 -1.012204 1.717039 4.184116
1.005910 0.942446 -1.059269 1.711283 4.206200
1.008064 0.944559 -1.106321 1.705776 4.227939
1.010218 0.946668 -1.153375 1.700527 4.249212
1.012372 0.948774 -1.200445 1.695546 4.270106
1.014526 0.950876 -1.247546 1.690841 4.290549
1.016680 0.952975 -1.294695 1.686422 4.310588
1.018833 0.955072 -1.341910 1.682297 4.330118
1.020987 0.957167 -1.389208 1.678476 4.349192
1.023141 0.959260 -1.436609 1.674968 4.367766
1.025295 0.961351 -1.484133 1.671782 4.385833
1.027449 0.963442 -1.531801 1.668927 4.403394
1.029603 0.965532 -1.579634 1.666413 4.420411
1.031757 0.967622 -1.627657 1.664249 4.436873
1.033911 0.969712 -1.675891 1.662445 4.452738
1.036065 0.971803 -1.724362 1.661011 4.468059
1.038219 0.973895 -1.773095 1.659957 4.482794
1.040373 0.975989 -1.822116 1.659291 4.496993
1.042527 0.978085 -1.871451 1.659026 4.510586
1.044681 0.980184 -1.921129 1.659170 4.523571
1.046835 0.982285 -1.971178 1.659735 4.535955
1.048989 0.984391 -2.021626 1.660730 4.547679
1.051143 0.986500 -2.072505 1.662168 4.558790
1.053297 0.988614 -2.123844 1.664059 4.569475
1.055451 0.990734 -2.175676 1.666414 4.579692
1.057605 0.992859 -2.228031 1.669245 4.589524
1.059759 0.994990 -2.280943 1.672564 4.599223
1.061913 0.997128 -2.334446 1.676384 4.608924
1.064067 0.999274 -2.388574 1.680716 4.618760
1.066221 1.001428 -2.443361 1.685573 4.629684
1.068375 1.003590 -2.498842 1.690970 4.642951
1.070529 1.005762 -2.555055 1.696918 4.662169
1.072683 1.007943 -2.612036 1.703433 4.696500
1.074837 1.010135 -2.669821 1.710528 4.796978
1.076991 1.012338 -2.728449 1.718219 0.000000
